,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
2280,4898091,2020-01-01 20:17:53+00:00, ,1212468003297775619,en,22,6,9,17,SocialFlow,Netanyahu requests immunity from prosecution https://t.co/lTa65mtyCD
2278,4898091,2020-01-01 21:02:35+00:00, ,1212479251972263936,en,53,3,2,18,SocialFlow,Back in June 2018 the multinational car mogul Carlos Ghosn sat down for Lunch with the FT with @khalafroula to discuss his pay and an auto industry in turmoil. Who could have predicted what would go on to happen next? https://t.co/ZiMaEC4SsC
2276,4898091,2020-01-01 21:50:06+00:00, ,1212491211728195585,en,40,4,4,30,SocialFlow,Just published: front page of the Financial Times UK edition Thursday January 2 https://t.co/rLGMTDSK8t https://t.co/8VoScECLYu
2274,4898091,2020-01-02 05:02:52+00:00, ,1212600120606384128,en,1,0,1,3,SocialFlow,Stockpickers need to prove they are worth it https://t.co/u7Efx8YpGL
2271,4898091,2020-01-02 07:00:19+00:00, ,1212629676138651648,en,10,0,0,4,SocialFlow,Reinsurance renewal prices hold the line in face of disasters https://t.co/Te76i6Uob8
2268,4898091,2020-01-02 07:07:01+00:00, ,1212631365411315712,en,69,15,8,42,SocialFlow,"Israel, Greece and Cyprus set to seal €6bn gas pipeline deal https://t.co/BF3QVjyzJM"
2265,4898091,2020-01-02 09:00:09+00:00, ,1212659835969441792,en,19,0,2,4,SocialFlow,"What is the future of flying?

Our panel of industry experts will debate the options: electric planes, biofuels, green offsets, banning air miles, taking the train - or just staying at home? https://t.co/ee4zmdodog https://t.co/O8QMJuNC7N"
2258,4898091,2020-01-02 11:20:07+00:00, ,1212695060090933249,en,17,0,2,8,SocialFlow,"The British army is targeting Instagram addicts, Love Island viewers and fans of fast fashion in a new recruitment campaign aimed at persuading millennials to join its ranks https://t.co/jp1CdcjGof"
2256,4898091,2020-01-02 12:00:12+00:00, ,1212705144187621377,en,14,1,0,13,SocialFlow,"There are now fewer than 70,000 mature individuals living in the wild, according to the International Union for Conservation of Nature, which changed the status of the giraffe as a species from 'least concern' to 'vulnerable'  https://t.co/pdvALBh4df"
2255,4898091,2020-01-02 12:11:36+00:00, ,1212708015469727746,en,7,1,0,1,Twitter for Advertisers.,Uruguay has always been considered a seasonal destination but is just as special outside the December/January rush https://t.co/HdRv9evZq2
2252,4898091,2020-01-02 12:40:02+00:00, ,1212715169765318658,en,15,0,1,11,SocialFlow,Philip Stephens: Afghanistan is a forgotten war https://t.co/IRhFQDCxaa
2251,4898091,2020-01-02 13:00:10+00:00, ,1212720238585929728,en,15,0,1,6,SocialFlow,Good morning New York. While you were sleeping this was our most-read story https://t.co/bCgvFE7qzn
2249,4898091,2020-01-02 13:40:06+00:00, ,1212730285521088512,en,11,1,1,10,SocialFlow,"A flagship scheme for cross-border listings between the Shanghai and London stock exchanges has been postponed, with 'no timetable' for restarting
https://t.co/nMeoOtKNa0"
2248,4898091,2020-01-02 14:00:15+00:00, ,1212735356828880896,en,8,0,0,3,SocialFlow,"General Shen Yi-ming was visiting troops when the helicopter was forced to make an emergency landing
https://t.co/MP59VAxuX5"
2246,4898091,2020-01-02 14:40:03+00:00, ,1212745375783825409,en,22,4,3,14,SocialFlow,The Caribbean region has been hit by hurricanes and trade wars over the past decade. But developers are building regardless – and visitors are flocking https://t.co/ZnOswUOPxd
2245,4898091,2020-01-02 15:00:11+00:00, ,1212750439424446464,en,19,0,3,12,SocialFlow,"Google has overhauled its global tax structure and consolidated all of its intellectual property holdings back to the US
https://t.co/8PYbfSaGI3"
2244,4898091,2020-01-02 15:20:06+00:00, ,1212755451173130240,en,7,1,0,7,SocialFlow,"The number of thefts in Tehran has risen 30% over the past year, says General Ayub Soleimani, the deputy police chief, while online theft has almost doubled over the period
https://t.co/ff66EL4WfR"
2243,4898091,2020-01-02 15:40:06+00:00, ,1212760484157497344,en,17,1,1,12,SocialFlow,"In 1988 the average household moved once every 8.63 years. In 2017, it was once every 23 years https://t.co/75pD8GI6Pz"
2240,4898091,2020-01-02 16:40:01+00:00, ,1212775564521738240,en,12,1,1,3,SocialFlow,"From high-tech to hygge, our homes changed at top speed in the 2010s — what will the 2020s bring? https://t.co/nJ48r7iGI0"
2239,4898091,2020-01-02 17:00:10+00:00, ,1212780636727107584,en,11,0,2,8,SocialFlow,"Opinion: The persistence of sexism in France is intertwined with French culture, education and structures
https://t.co/I8AD1GvVgL"
2238,4898091,2020-01-02 17:20:06+00:00, ,1212785650606493698,en,10,2,4,8,SocialFlow,"The grounding of Boeing’s 737 Max has forced airlines to seek storage solutions. A boneyard in Alice Springs, Australia provides the ideal resting place 
https://t.co/X7bCwJb7wn"
2236,4898091,2020-01-02 18:00:07+00:00, ,1212795721210114048,en,17,1,5,12,SocialFlow,"Opinion: Here's why we shouldn't underestimate Donald Trump's chances of winning again in 2020:
✅The longest economic expansion in US history
✅High partisanship
✅The difficulty for Trump to disappoint people, since they never had hopes to dash 
https://t.co/rApFOhNK9s"
2235,4898091,2020-01-02 18:20:04+00:00, ,1212800744262381568,en,10,1,1,7,SocialFlow,"In the latest episode of the FT podcast The Rachman Review, our chief foreign affairs columnist talks to Italy's former prime minister Matteo Renzi about the problem with populists, how to solve Europe's migration crisis and his future role in politics https://t.co/VuD372g2G9"
2234,4898091,2020-01-02 18:40:01+00:00, ,1212805765066571782,en,24,1,2,12,SocialFlow,"Bernie Sanders has raised $34.5m for his campaign in the last three months of 2019, notching up the biggest quarterly money haul of any contender for this year’s Democratic nomination so far https://t.co/H07FuMETXj"
2233,4898091,2020-01-02 19:00:08+00:00, ,1212810824424792065,en,10,3,2,7,SocialFlow,A British 'ethical vegan' is claiming that he was fired from his previous job because of his beliefs and is now trying to protect veganism in law https://t.co/9ZpyH2mpop
2228,4898091,2020-01-02 20:40:07+00:00, ,1212835988868861952,en,36,3,1,9,SocialFlow,"After explosive growth, the $8bn influencer marketing business may be showing signs of strain for the first time https://t.co/3YgGr4J0qA https://t.co/9BR9hMiyNd"
2223,4898091,2020-01-02 21:40:04+00:00, ,1212851074249482240,en,22,2,3,22,SocialFlow,"FT View: Refugee emergencies in Syria and Myanmar triggered substantial aid pledges from donor nations. By contrast, Venezuela’s humanitarian crisis, one of the largest in modern history, remains desperately underfunded https://t.co/pCldZdJ21v"
2222,4898091,2020-01-02 22:00:06+00:00, ,1212856115010113536,en,0,0,0,38,SocialFlow,RT @lionelbarber: I could read a million more words about Carlos Ghosn’s Great Escape.  Key @FinancialTimes findings to date: he used priva…
2220,4898091,2020-01-02 22:40:06+00:00, ,1212866181415260160,en,20,2,2,9,SocialFlow,"What is the future of flying?

Our panel of industry experts will debate the options: electric planes, biofuels, green offsets, banning air miles, taking the train - or just staying at home? https://t.co/9CFt4JE7m3 https://t.co/M7Uqw9WWKt"
2219,4898091,2020-01-02 23:00:12+00:00, ,1212871239011852288,en,0,0,0,9,SocialFlow,"RT @thomas_m_wilson: Yikes - after dropping 70% in 2019, Tullow shares are down another 6% on disappointing drill results from Guyana (earl…"
2217,4898091,2020-01-03 03:00:07+00:00, ,1212931617947357184,en,21,1,0,6,SocialFlow,"'Rethink your earning, spending, saving, investing and giving behaviours and habits to ensure they are aligned with what really matters' — Jason Butler's advice for those who want to get better with money in 2020 https://t.co/ijKqZZ6J9i"
2213,4898091,2020-01-03 05:02:30+00:00, ,1212962415022936064,en,8,1,0,3,SocialFlow,Sony joins race to develop vision sensor for self-driving vehicles https://t.co/o7kXHNidXD
2207,4898091,2020-01-03 08:23:00+00:00, ,1213012874832031745,en,17,1,1,7,SocialFlow,Private equity giants vow to show their ESG credentials in 2020 https://t.co/DS80K5nOdC
2209,4898091,2020-01-03 08:23:00+00:00, ,1213012874421035010,en,24,0,7,11,SocialFlow,Royalists pine for days of empire in Bolsonaro’s Brazil https://t.co/YR9SGWijkk
2206,4898091,2020-01-03 09:00:12+00:00, ,1213022233716764674,en,35,6,6,21,SocialFlow,"Qassem Soleimani, the head of the Iranian Revolutionary Guards’ overseas forces, has been killed in a targeted US air strike at Baghdad airport https://t.co/knC3A6O2Bb"
2203,4898091,2020-01-03 10:00:05+00:00, ,1213037306468356096,en,24,3,12,11,SocialFlow,"In perhaps the most unusual government job advert ever seen, Boris Johnson’s chief adviser invites applications from 'true wild cards, artists, people who never went to university and fought their way out of an appalling hell hole'
https://t.co/Q7GIrWpkoq"
2202,4898091,2020-01-03 10:20:01+00:00, ,1213042323455651840,en,24,1,2,17,SocialFlow,"Interpol has issued a 'red notice' to Lebanon asking the country to arrest Carlos Ghosn, while the former Nissan chairman sought to quash allegations that his family had played a role in his escape from Tokyo to Beirut
https://t.co/dPTLNZvFW0"
2195,4898091,2020-01-03 12:00:10+00:00, ,1213067525778526208,en,14,0,0,5,SocialFlow,"Even footballers can get screwed over by estate agents — Carlos Tevez, the Argentine forward, is remembered in the north-west of England for paying £30,000 a week in rent https://t.co/6yQbEVej8y"
2193,4898091,2020-01-03 12:23:58+00:00, ,1213073515739598848,en,231,6,26,23,Twitter for Advertisers.,"With over 600 correspondents in more than 50 countries, The Financial Times offers a unique, independent and truly global guide to the world’s new agenda"
2188,4898091,2020-01-03 13:20:05+00:00, ,1213087638795825155,en,5,1,0,1,SocialFlow,"MNG Jet's chief executive, Can Sasmaz, said that one of the company's employees had admitted falsifying passenger records
https://t.co/zx3rKrKNET"
2187,4898091,2020-01-03 13:25:16+00:00, ,1213088941399785473,en,0,0,0,35,SocialFlow,RT @ChassNews: The mayor of #Prague was welcoming diplomats to a reception in the Czech capital when the Chinese ambassador approached and…
2186,4898091,2020-01-03 13:40:02+00:00, ,1213092659096625153,en,56,9,12,31,SocialFlow,"In the immediate aftermath of his death, Iranian politicians said it would have been Soleimani’s dream to be 'martyred' by the US, Iran’s 'arch foe' 
https://t.co/GeS55iyrVH"
2183,4898091,2020-01-03 14:40:07+00:00, ,1213107777259917314,en,79,8,3,27,SocialFlow,"Few names strike fear into the heart of Wall Streeters like that of Elizabeth Warren
https://t.co/khkLhb0Skh"
2182,4898091,2020-01-03 14:47:13+00:00, ,1213109565228797955,en,18,0,0,6,Twitter for Advertisers.,"What is the best thing they have learnt this year, or what positive change have they made to their routine? Here’s what they said:  https://t.co/zNOXjhgqcl"
2181,4898091,2020-01-03 15:00:16+00:00, ,1213112847657570304,en,21,0,1,10,SocialFlow,"Turkish President Recep Tayyip Erdogan wants to raise a 'pious generation'. But young people are shunning the values that the ruling party would like them to uphold
https://t.co/L89TlFjcDg"
2180,4898091,2020-01-03 15:16:09+00:00, ,1213116845949161474,en,0,0,0,13,SocialFlow,RT @AlecuRussell: Maybe we buried the lede in this amazing piece on science breakthroughs for the 2020s. FT's science ed @clivecookson puts…
2178,4898091,2020-01-03 15:40:04+00:00, ,1213122864255324163,en,34,1,0,13,SocialFlow,"Did you know your will can be challenged when you die? 
https://t.co/NmXyPGVVvi"
2176,4898091,2020-01-03 16:00:20+00:00, ,1213127967464972288,en,15,1,0,4,SocialFlow,"Jonathan Margolis: If there is one trend for the 2020s I would want to flag up, it is the emergence of unusual patrons of innovative technology
https://t.co/N1obtEthCv"
2173,4898091,2020-01-03 16:40:05+00:00, ,1213137968703168513,en,3,1,2,5,SocialFlow,"Opinion: As technology brings reality and virtual reality closer together, which version will you prefer? https://t.co/u49MdBKDYR"
2172,4898091,2020-01-03 17:00:14+00:00, ,1213143041034399744,en,19,0,0,2,SocialFlow,"As you return to work after the holidays and assess the year ahead, take some inspiration from business leaders and FT columnists https://t.co/yZv9n8CW63"
2171,4898091,2020-01-03 17:20:04+00:00, ,1213148031295594496,en,9,0,1,3,SocialFlow,Do you know everything there is to know about the 2010s? Try our cultural quiz of the decade: https://t.co/zq0CWk7ZpS
2169,4898091,2020-01-03 18:00:13+00:00, ,1213158133658456065,en,24,2,0,9,SocialFlow,"India’s wedding season is underway, but the mood is different this year since the country is going through a painful economic slowdown that has hurt growth, jobs and consumption — even affecting the lavish Indian wedding industry https://t.co/tvqnWSiXsW https://t.co/fZCQAQD1NN"
