,Source.Name,,created_at,id,,like_count,quote_count,reply_count,retweet_count,,tweet,,CLEANED
128,FinancialTimesv3_0703.csv,,01/07/2020 11:33,1,,0,0,1,0,,"France's Les Républicains, which once dominated postwar French politics, are still searching for a credible challenger to Emmanuel Macron https://t.co/lpwNKVw9v2",,Frances Les Rpublicains which once dominated postwar French politics are still searching for a credible challenger to Emmanuel Macron httpstcolpwNKVw9v2
127,FinancialTimesv3_0703.csv,,01/07/2020 12:05,2,,3,0,0,0,,Hong Kong police make first arrests following a sweeping new national security law imposed on the Asian financial hub by Beijing https://t.co/K5Jd2iy2O8,,Hong Kong police make first arrests following a sweeping new national security law imposed on the Asian financial hub by Beijing httpstcoK5Jd2iy2O8
119,FinancialTimesv3_0703.csv,,01/07/2020 14:43,3,,1,0,0,0,,"No roaring crowd, no celebratory hugs. Here's what going to a Premier League football match is like right now 
https://t.co/45VizK7xE3",,No roaring crowd no celebratory hugs Heres what going to a Premier League football match is like right now httpstco45VizK7xE3
109,FinancialTimesv3_0703.csv,,01/07/2020 19:32,4,,3,1,1,0,,"RT @MsHannahMurphy: “The call was all anodyne and stripped back. They’ve got to spit their party lines. But that’s not enough""

Facebook's…",,RT MsHannahMurphy The call was all anodyne and stripped back Theyve got to spit their party lines But thats not enoughFacebooks
107,FinancialTimesv3_0703.csv,,01/07/2020 20:22,5,,1,0,0,0,,New York City will hold off on a plan to allow indoor dining at restaurants as it proceeds with the next phase of its reopening on July 6 https://t.co/xGJMGP8zmO,,New York City will hold off on a plan to allow indoor dining at restaurants as it proceeds with the next phase of its reopening on July 6 httpstcoxGJMGP8zmO
96,FinancialTimesv3_0703.csv,,02/07/2020 00:57,6,,1,0,0,0,,"Coronavirus latest: US cases top 50,000 for the first time ever https://t.co/DIWTBc2tne",,Coronavirus latest US cases top 50000 for the first time ever httpstcoDIWTBc2tne
94,FinancialTimesv3_0703.csv,,02/07/2020 01:06,7,,1,0,0,0,,US seeks Warhol and Monet art in latest 1MDB forfeiture request https://t.co/lOKE8cdq0p,,US seeks Warhol and Monet art in latest 1MDB forfeiture request httpstcolOKE8cdq0p
88,FinancialTimesv3_0703.csv,,02/07/2020 05:35,8,,2,1,0,0,,‘I want my Europe back’: Simon Kuper on a summer without travel https://t.co/stXrMg38El,,I want my Europe back Simon Kuper on a summer without travel httpstcostXrMg38El
89,FinancialTimesv3_0703.csv,,02/07/2020 05:35,9,,2,0,1,0,,Can BNP Paribas beat the investment banking jinx? https://t.co/vAqLhGKwNf,,Can BNP Paribas beat the investment banking jinx? httpstcovAqLhGKwNf
79,FinancialTimesv3_0703.csv,,02/07/2020 09:00,10,,1,0,0,0,,"Daily coronavirus thread: What did you miss? 
👉 Tokyo cases top 100 for first time since emergency ended
👉  US reports more than 50,000 new cases for first time
👉 Ryanair reports 97% drop in passengers in June
Find out more here: https://t.co/bf9xSOrI3K",,Daily coronavirus thread What did you miss?  Tokyo cases top 100 for first time since emergency ended  US reports more than 50000 new cases for first time Ryanair reports 97 drop in passengers in JuneFind out more here httpstcobf9xSOrI3K
59,FinancialTimesv3_0703.csv,,02/07/2020 15:39,11,,1,0,0,0,,Just in. https://t.co/sJ8WH7G8ai,,Just in httpstcosJ8WH7G8ai
57,FinancialTimesv3_0703.csv,,02/07/2020 16:30,12,,1,0,0,0,,"The FT is looking for potential students to help us redesign the FT rankings site. If you are looking for an MBA, executive courses or Masters in business or finance topics — join the panel: https://t.co/nQ2SYK3kdJ? https://t.co/y51b9enYqD",,The FT is looking for potential students to help us redesign the FT rankings site If you are looking for an MBA executive courses or Masters in business or finance topics  join the panel httpstconQ2SYK3kdJ? httpstcoy51b9enYqD
55,FinancialTimesv3_0703.csv,,02/07/2020 16:31,13,,1,0,0,0,,UK high street suffers huge jobs losses https://t.co/kCLGroILjQ,,UK high street suffers huge jobs losses httpstcokCLGroILjQ
29,FinancialTimesv3_0703.csv,,02/07/2020 16:31,14,,6,0,0,0,,US is stuck in the worst of all worlds https://t.co/94CQlE2KP3,,US is stuck in the worst of all worlds httpstco94CQlE2KP3
53,FinancialTimesv3_0703.csv,,02/07/2020 16:31,15,,1,0,0,0,,Why Sony’s name change matters https://t.co/Z7ov7Lazk3,,Why Sonys name change matters httpstcoZ7ov7Lazk3
12,FinancialTimesv3_0703.csv,,02/07/2020 19:25,16,,1,0,1,0,,"RT @RobinWigg: On June 12, Alex Kearns, a young student, took his own life, after believing that he had lost over $700,000 trading options…",,RT RobinWigg On June 12 Alex Kearns a young student took his own life after believing that he had lost over 700000 trading options
0,FinancialTimesv3_0703.csv,,03/07/2020 00:20,17,,2,0,0,0,,Multi-strategy hedge funds post double-digit gains https://t.co/vr4YVH8UHO,,Multistrategy hedge funds post doubledigit gains httpstcovr4YVH8UHO
591,FinancialTimesv3_0710.csv,,03/07/2020 03:00,18,,1,0,0,0,,Wirecard North America sale draws interest from payments groups https://t.co/s1OxqbSXFl,,Wirecard North America sale draws interest from payments groups httpstcos1OxqbSXFl
586,FinancialTimesv3_0710.csv,,03/07/2020 05:27,19,,1,1,3,0,,Museum or mosque: Erdogan stokes debate over Hagia Sophia’s future https://t.co/zBejBSh6Bd,,Museum or mosque Erdogan stokes debate over Hagia Sophias future httpstcozBejBSh6Bd
582,FinancialTimesv3_0710.csv,,03/07/2020 06:12,20,,1,0,0,0,,UK and EU watchdogs battle for final say on O2-Virgin deal https://t.co/FBqbiqMHcE,,UK and EU watchdogs battle for final say on O2Virgin deal httpstcoFBqbiqMHcE
580,FinancialTimesv3_0710.csv,,03/07/2020 06:48,21,,1,0,0,0,,Why the Fed thinks Goldman is America’s riskiest bank https://t.co/V2q0m58TSq,,Why the Fed thinks Goldman is Americas riskiest bank httpstcoV2q0m58TSq
577,FinancialTimesv3_0710.csv,,03/07/2020 09:57,22,,5,0,1,0,,"Opinion: We do learn from bitter experience, of course. But we also have a great talent for forgetting. In particular, we forget how bad things feel. The pandemic will long be remembered, but the pain will fade
https://t.co/3bUtK7Ceyi",,Opinion We do learn from bitter experience of course But we also have a great talent for forgetting In particular we forget how bad things feel The pandemic will long be remembered but the pain will fadehttpstco3bUtK7Ceyi
570,FinancialTimesv3_0710.csv,,03/07/2020 12:30,23,,3,0,0,1,,"French prime minister Edouard Philippe has stepped down, although his popularity has risen during the coronavirus crisis. The move is kick-starting a government reshuffle to reignite Emmanuel Macron’s presidency two years before presidential elections https://t.co/Eq3H0biQ57",,French prime minister Edouard Philippe has stepped down although his popularity has risen during the coronavirus crisis The move is kickstarting a government reshuffle to reignite Emmanuel Macrons presidency two years before presidential elections httpstcoEq3H0biQ57
569,FinancialTimesv3_0710.csv,,03/07/2020 12:50,24,,20,2,3,1,,"A Communist party official, Zheng Yanxiong, who gained notoriety for his violent suppression of protests on the mainland has been appointed chief of Hong Kong’s new national security office, giving him notable power over residents and foreign businesses https://t.co/NnBKrw6s3Z",,A Communist party official Zheng Yanxiong who gained notoriety for his violent suppression of protests on the mainland has been appointed chief of Hong Kongs new national security office giving him notable power over residents and foreign businesses httpstcoNnBKrw6s3Z
568,FinancialTimesv3_0710.csv,,03/07/2020 13:30,25,,1,0,0,1,,"Wirecard North America’s banking partners are standing by the stricken company, as it seeks a sale that is likely to attract interest from buyers including fintech, workplace payments and gift card groups https://t.co/zuypfx4vvW",,Wirecard North Americas banking partners are standing by the stricken company as it seeks a sale that is likely to attract interest from buyers including fintech workplace payments and gift card groups httpstcozuypfx4vvW
562,FinancialTimesv3_0710.csv,,03/07/2020 16:03,26,,2,0,0,1,,Texas governor Greg Abbott has issued an order requiring face masks to be worn in public in the state’s hardest-hit regions: ‘We need to refocus on slowing the spread but this time we want to do it without closing down Texas again.’ https://t.co/M7Kxv67r6v,,Texas governor Greg Abbott has issued an order requiring face masks to be worn in public in the states hardesthit regions We need to refocus on slowing the spread but this time we want to do it without closing down Texas again httpstcoM7Kxv67r6v
561,FinancialTimesv3_0710.csv,,03/07/2020 16:55,27,,9,1,0,1,,"RT @ChloeNCornish: Some weekend reading for y'all. The Hong Kong security law, Wirecard, Ghislaine Maxwell... 

With FT shout-outs to @FD,…",,RT ChloeNCornish Some weekend reading for yall The Hong Kong security law Wirecard Ghislaine Maxwell With FT shoutouts to FD
559,FinancialTimesv3_0710.csv,,03/07/2020 17:18,28,,13,0,0,1,,"Mr Seto chooses his words carefully, but since Japan went into lockdown in April, he has evolved a contentious idea: that the pandemic, for all its misery, is a “disguised blessing” https://t.co/CdbIMRruuZ",,Mr Seto chooses his words carefully but since Japan went into lockdown in April he has evolved a contentious idea that the pandemic for all its misery is a disguised blessing httpstcoCdbIMRruuZ
556,FinancialTimesv3_0710.csv,,03/07/2020 18:15,29,,6,0,0,1,,Fifa chief and Swiss federal prosecutor face investigation https://t.co/LWEJUrnqQ5,,Fifa chief and Swiss federal prosecutor face investigation httpstcoLWEJUrnqQ5
554,FinancialTimesv3_0710.csv,,03/07/2020 19:52,30,,0,2,0,1,,"Free to Read: After coronavirus surged in Leicester, factories in the area faced criticism for making staff go into work during lockdown. Here is our 2018 coverage asking how many 'dark factories' exist outside UK employment law https://t.co/DPG9KbktEJ",,Free to Read After coronavirus surged in Leicester factories in the area faced criticism for making staff go into work during lockdown Here is our 2018 coverage asking how many dark factories exist outside UK employment law httpstcoDPG9KbktEJ
553,FinancialTimesv3_0710.csv,,03/07/2020 20:45,31,,3,2,0,1,,"Just published: front page of the Financial Times international edition, Saturday July 4 https://t.co/0gEexP6uv1 https://t.co/wrCnJ25M50",,Just published front page of the Financial Times international edition Saturday July 4 httpstco0gEexP6uv1 httpstcowrCnJ25M50
552,FinancialTimesv3_0710.csv,,03/07/2020 20:46,32,,5,0,0,1,,After Wirecard: is it time to audit the auditors? https://t.co/w8RQbvqNDN,,After Wirecard is it time to audit the auditors? httpstcow8RQbvqNDN
549,FinancialTimesv3_0710.csv,,03/07/2020 20:50,33,,7,0,0,1,,"Just published: front page of the Financial Times UK edition, Saturday July 4 https://t.co/15Ig10ZDJN https://t.co/N4iWeVH8n2",,Just published front page of the Financial Times UK edition Saturday July 4 httpstco15Ig10ZDJN httpstcoN4iWeVH8n2
548,FinancialTimesv3_0710.csv,,03/07/2020 22:03,34,,9,0,0,1,,"With his mask-aversion, his impatience for an economic bounce and his tiffs with medical experts, President Donald Trump did not confront Americans with the seriousness of even the first lockdown. Far less did he tell them to brace for a potential second https://t.co/3aEPLFHr8d",,With his maskaversion his impatience for an economic bounce and his tiffs with medical experts President Donald Trump did not confront Americans with the seriousness of even the first lockdown Far less did he tell them to brace for a potential second httpstco3aEPLFHr8d
547,FinancialTimesv3_0710.csv,,03/07/2020 22:45,35,,4,0,0,1,,Donald Trump to hold Independence Day celebration as virus surges https://t.co/KWriFRYcxC,,Donald Trump to hold Independence Day celebration as virus surges httpstcoKWriFRYcxC
546,FinancialTimesv3_0710.csv,,03/07/2020 23:17,36,,0,0,0,1,,"Free to read: 'People didn’t lock down merely because governments told them to. Now the converse applies: just because shopping is legal again does not mean people will rush out to the shops,' Tim Harford writes https://t.co/Xf3itBSlna https://t.co/8QKFmHsBqh",,Free to read People didnt lock down merely because governments told them to Now the converse applies just because shopping is legal again does not mean people will rush out to the shops Tim Harford writes httpstcoXf3itBSlna httpstco8QKFmHsBqh
543,FinancialTimesv3_0710.csv,,04/07/2020 01:14,37,,6,0,0,1,,Hong Kong’s youth: ‘If we shut up then we lose completely’ https://t.co/tDVP3cai7l,,Hong Kongs youth If we shut up then we lose completely httpstcotDVP3cai7l
539,FinancialTimesv3_0710.csv,,04/07/2020 03:38,38,,2,0,0,1,,"Dancers explore how coronavirus has changed the way we move, touch and connect https://t.co/7URNiKVPHW",,Dancers explore how coronavirus has changed the way we move touch and connect httpstco7URNiKVPHW
538,FinancialTimesv3_0710.csv,,04/07/2020 03:42,39,,13,0,3,1,,Britain’s armed forces pivot east to face growing China threat https://t.co/ilcdfXOgOR,,Britains armed forces pivot east to face growing China threat httpstcoilcdfXOgOR
537,FinancialTimesv3_0710.csv,,04/07/2020 04:00,40,,6,0,1,1,,Janan Ganesh: Some are woke. Some are broke. Some love Eminem. Some hate him. Which are you? https://t.co/9WZWZq3t98,,Janan Ganesh Some are woke Some are broke Some love Eminem Some hate him Which are you? httpstco9WZWZq3t98
533,FinancialTimesv3_0710.csv,,04/07/2020 08:00,41,,1,0,0,1,,"After long weeks in isolation, eager hosts may be starting to plan dinner party rendezvous once more. Here's a glimpse into the charming world of tablescaping, where the food comes second https://t.co/Eo2wHyBOdq",,After long weeks in isolation eager hosts may be starting to plan dinner party rendezvous once more Heres a glimpse into the charming world of tablescaping where the food comes second httpstcoEo2wHyBOdq
531,FinancialTimesv3_0710.csv,,04/07/2020 10:01,42,,1,0,0,1,,"Time for a real New Deal for the post-pandemic world, says @MESandbu https://t.co/Fm05tCCj4G",,Time for a real New Deal for the postpandemic world says MESandbu httpstcoFm05tCCj4G
530,FinancialTimesv3_0710.csv,,04/07/2020 11:04,43,,2,1,1,1,,Live Q&amp;A: what should my children read this summer? https://t.co/M6wdKIRpaK,,Live QampA what should my children read this summer? httpstcoM6wdKIRpaK
529,FinancialTimesv3_0710.csv,,04/07/2020 11:56,44,,10,0,1,1,,"Happening in a few minutes! &gt;&gt;&gt; Want something brilliant for the kids to read over the holidays? Join FT books critics @JamesLovegrove7 and @suzifeay for a live discussion on the best children's and young adult books TODAY, 12pm UK time. Get involved here: https://t.co/VRbBSArjl5",,Happening in a few minutes gtgtgt Want something brilliant for the kids to read over the holidays? Join FT books critics JamesLovegrove7 and suzifeay for a live discussion on the best childrens and young adult books TODAY 12pm UK time Get involved here httpstcoVRbBSArjl5
528,FinancialTimesv3_0710.csv,,04/07/2020 13:31,45,,5,1,2,1,,US sends aircraft carriers into South China Sea https://t.co/VcILLtrVv3,,US sends aircraft carriers into South China Sea httpstcoVcILLtrVv3
527,FinancialTimesv3_0710.csv,,04/07/2020 14:01,46,,6,0,1,1,,"So Boris Johnson managed a few press-ups for the cameras. But, asks Robert Shrimsley, does that show he’s fit to lead? https://t.co/o3hzxYvQlA",,So Boris Johnson managed a few pressups for the cameras But asks Robert Shrimsley does that show hes fit to lead? httpstcoo3hzxYvQlA
526,FinancialTimesv3_0710.csv,,04/07/2020 14:47,47,,1,0,0,1,,I’m always questioning authority.' How dissident Chinese artist @aiww is at the heart of the world’s largest collection of contemporary Chinese art – currently being spotlit at Turin muesum @rivolicast https://t.co/3WmpWUe5Um,,Im always questioning authority How dissident Chinese artist aiww is at the heart of the worlds largest collection of contemporary Chinese art  currently being spotlit at Turin muesum rivolicast httpstco3WmpWUe5Um
521,FinancialTimesv3_0710.csv,,04/07/2020 22:00,48,,0,0,0,1,,"Prioritising the economy over the virus, some politicians ended up mismanaging both: Simon Kuper reports on the 'mediagenic rightwing nationalists sceptical of credentialled experts' who have seen death rates soar, despite having ample time to prepare https://t.co/JkaYCe95Di",,Prioritising the economy over the virus some politicians ended up mismanaging both Simon Kuper reports on the mediagenic rightwing nationalists sceptical of credentialled experts who have seen death rates soar despite having ample time to prepare httpstcoJkaYCe95Di
520,FinancialTimesv3_0710.csv,,05/07/2020 01:00,49,,2,0,0,1,,"‘In America, this summer’s hottest wedding destination is a classic: your own back garden’: Madison Darbyshire on how lockdown has us re-evaluating the business of getting married https://t.co/lKmxB80K9j",,In America this summers hottest wedding destination is a classic your own back garden Madison Darbyshire on how lockdown has us reevaluating the business of getting married httpstcolKmxB80K9j
515,FinancialTimesv3_0710.csv,,05/07/2020 05:09,50,,1,0,0,1,,Providing infrastructure and services in times of crisis https://t.co/nv0ojT2qS6,,Providing infrastructure and services in times of crisis httpstconv0ojT2qS6
516,FinancialTimesv3_0710.csv,,05/07/2020 05:09,51,,5,0,0,1,,It is time to say farewell to the scourge of hot-desking https://t.co/moPDK00YFY,,It is time to say farewell to the scourge of hotdesking httpstcomoPDK00YFY
517,FinancialTimesv3_0710.csv,,05/07/2020 05:09,52,,5,0,0,1,,‘We risk losing it all’: voices from the world’s poorest countries on the pandemic https://t.co/ruhu5LbXMK,,We risk losing it all voices from the worlds poorest countries on the pandemic httpstcoruhu5LbXMK
510,FinancialTimesv3_0710.csv,,05/07/2020 08:00,53,,5,0,0,1,,Hitting the big time: meet the woman who invented watch portraiture https://t.co/QrI8LJ8tNf,,Hitting the big time meet the woman who invented watch portraiture httpstcoQrI8LJ8tNf
509,FinancialTimesv3_0710.csv,,05/07/2020 08:07,54,,3,1,6,1,,Life under Sisi: Egyptian crackdown intensifies as Cairo battles Covid https://t.co/zKaqUQs3WP,,Life under Sisi Egyptian crackdown intensifies as Cairo battles Covid httpstcozKaqUQs3WP
507,FinancialTimesv3_0710.csv,,05/07/2020 09:38,55,,2,0,0,1,,"Just 10 lavish 'tents' in a 135-acre enclave, surrounded by miles of empty desert – for those with the funds, this could be the ultimate place for a socially-distanced retreat this summer https://t.co/8yK9A1zWib",,Just 10 lavish tents in a 135acre enclave surrounded by miles of empty desert  for those with the funds this could be the ultimate place for a sociallydistanced retreat this summer httpstco8yK9A1zWib
506,FinancialTimesv3_0710.csv,,05/07/2020 10:49,56,,8,0,2,2,,UK expected to phase Huawei out of 5G network https://t.co/LHzTA86xqV,,UK expected to phase Huawei out of 5G network httpstcoLHzTA86xqV
504,FinancialTimesv3_0710.csv,,05/07/2020 12:04,57,,2,0,0,2,,Republicans warn of ‘grim’ outlook for Trump in Florida https://t.co/PDCA5zVdrZ,,Republicans warn of grim outlook for Trump in Florida httpstcoPDCA5zVdrZ
503,FinancialTimesv3_0710.csv,,05/07/2020 13:01,58,,8,1,0,2,,"Japanese composer Ryuichi Sakamoto's numerous film scores include Merry Christmas, Mr Lawrence and The Sheltering Sky. He won an Oscar for The Last Emperor. He talks about Covid's spur to creativity – and why it's time for the Japanese to air their anger https://t.co/T4FgSzcRuF",,Japanese composer Ryuichi Sakamotos numerous film scores include Merry Christmas Mr Lawrence and The Sheltering Sky He won an Oscar for The Last Emperor He talks about Covids spur to creativity  and why its time for the Japanese to air their anger httpstcoT4FgSzcRuF
502,FinancialTimesv3_0710.csv,,05/07/2020 13:34,59,,2,0,0,2,,Is Santorini's rental season salvageable? Nathan Brooker has the details  https://t.co/X0DupPadDR,,Is Santorinis rental season salvageable? Nathan Brooker has the details  httpstcoX0DupPadDR
495,FinancialTimesv3_0710.csv,,05/07/2020 16:27,60,,4,0,1,2,,UAE merges ministries in ambitious government restructuring https://t.co/nUmc1ZAsQc,,UAE merges ministries in ambitious government restructuring httpstconUmc1ZAsQc
494,FinancialTimesv3_0710.csv,,05/07/2020 17:00,61,,21,1,1,2,,"Jemima Kelly: ‘We should stop chastising politicians for changing their minds, and start cheering them instead’ https://t.co/fhWYW91MRq",,Jemima Kelly We should stop chastising politicians for changing their minds and start cheering them instead httpstcofhWYW91MRq
492,FinancialTimesv3_0710.csv,,05/07/2020 17:25,62,,6,0,1,2,,"‘I miss the ceremony of getting ready for an evening, and the promise of opportunity it brings’: Jo Ellison longs for a reason to put on her deadly pair of Balenciaga heels https://t.co/Q9blLMwYzg",,I miss the ceremony of getting ready for an evening and the promise of opportunity it brings Jo Ellison longs for a reason to put on her deadly pair of Balenciaga heels httpstcoQ9blLMwYzg
491,FinancialTimesv3_0710.csv,,05/07/2020 20:35,63,,10,2,0,2,,Soaring saving rates pose policy dilemma for world’s central bankers https://t.co/vs7ZgKpBrc,,Soaring saving rates pose policy dilemma for worlds central bankers httpstcovs7ZgKpBrc
490,FinancialTimesv3_0710.csv,,05/07/2020 20:45,64,,3,0,0,2,,"Just published: front page of the Financial Times, international edition, Monday 6 July            https://t.co/OGaJ8s85t0 https://t.co/XeEn0WuxYY",,Just published front page of the Financial Times international edition Monday 6 July            httpstcoOGaJ8s85t0 httpstcoXeEn0WuxYY
486,FinancialTimesv3_0710.csv,,05/07/2020 23:10,65,,5,0,1,2,,Japanese carmakers opt to triple Mexican pay rather than move to US https://t.co/74Q4BjsQ5m,,Japanese carmakers opt to triple Mexican pay rather than move to US httpstco74Q4BjsQ5m
488,FinancialTimesv3_0710.csv,,05/07/2020 23:10,66,,0,0,0,2,,UK imposes sanctions on Russians and Saudis over human rights https://t.co/5OkR6QoMDe,,UK imposes sanctions on Russians and Saudis over human rights httpstco5OkR6QoMDe
485,FinancialTimesv3_0710.csv,,05/07/2020 23:49,67,,8,0,1,2,,Dominion drops pipeline project and sells gas business to Berkshire Hathaway https://t.co/doNl5wwFmV,,Dominion drops pipeline project and sells gas business to Berkshire Hathaway httpstcodoNl5wwFmV
484,FinancialTimesv3_0710.csv,,06/07/2020 00:13,68,,8,1,2,2,,Coronavirus prompts historic shift in Mitsubishi’s M&amp;A strategy https://t.co/hrWbJLJqbl,,Coronavirus prompts historic shift in Mitsubishis MampA strategy httpstcohrWbJLJqbl
481,FinancialTimesv3_0710.csv,,06/07/2020 04:10,69,,8,0,0,2,,"RT @JohnReedwrites: Back in December Ayala, the Philippines' oldest family conglomerate, was under verbal attack by the Duterte administrat…",,RT JohnReedwrites Back in December Ayala the Philippines oldest family conglomerate was under verbal attack by the Duterte administrat
