,Source.Name,,created_at,,id,,like_count,quote_count,reply_count,retweet_count,,tweet,,CLEANED
340,FinancialTimesv3_0906.csv,,01/09/2020 05:00,,7,,3,0,1,0,,What does style smell like? https://t.co/dqG9pR2Sf2,,What does style smell like? httpstcodqG9pR2Sf2
339,FinancialTimesv3_0906.csv,,01/09/2020 05:39,,8,,1,0,0,0,,Activist hedge fund urges European shift to rail from flights and ferries https://t.co/ZyBu0YnWFP,,Activist hedge fund urges European shift to rail from flights and ferries httpstcoZyBu0YnWFP
337,FinancialTimesv3_0906.csv,,01/09/2020 05:39,,9,,1,0,0,0,,How investor pressure prompted oil majors to wake up to climate change https://t.co/p8LiIbZxgd,,How investor pressure prompted oil majors to wake up to climate change httpstcop8LiIbZxgd
338,FinancialTimesv3_0906.csv,,01/09/2020 05:39,,10,,2,0,0,0,,Facebook threatens to block news-sharing in Australia https://t.co/enQ7z9v0Yw,,Facebook threatens to block newssharing in Australia httpstcoenQ7z9v0Yw
336,FinancialTimesv3_0906.csv,,01/09/2020 05:58,,11,,4,0,0,0,,The heady days of Japan Post’s 2015 IPO have long since passed https://t.co/fMYec7IEHO,,The heady days of Japan Posts 2015 IPO have long since passed httpstcofMYec7IEHO
335,FinancialTimesv3_0906.csv,,01/09/2020 06:00,,12,,0,0,2,0,,Scared of commuting to work by bike? An FT writer took an urban cycling lesson. Here's what she learned: https://t.co/ZhkED6cNWe,,Scared of commuting to work by bike? An FT writer took an urban cycling lesson Heres what she learned httpstcoZhkED6cNWe
330,FinancialTimesv3_0906.csv,,01/09/2020 09:04,,14,,1,0,0,0,,Deutsche Bank loses top European dealmaker to Citigroup https://t.co/sG3aLgx7aA,,Deutsche Bank loses top European dealmaker to Citigroup httpstcosG3aLgx7aA
328,FinancialTimesv3_0906.csv,,01/09/2020 09:38,,15,,1,0,0,0,,Hong Kong mass testing sows distrust among activists https://t.co/sJFlrkfgbG,,Hong Kong mass testing sows distrust among activists httpstcosJFlrkfgbG
326,FinancialTimesv3_0906.csv,,01/09/2020 10:30,,17,,2,2,1,0,,"Opinion: As the impact of the virus in Brazil begins to level off — having so far killed more than 120,000 people and infected almost 4m — the popularity of the country's rightwing leader has bounced to fresh highs https://t.co/Y5jxqrOKIi",,Opinion As the impact of the virus in Brazil begins to level off  having so far killed more than 120000 people and infected almost 4m  the popularity of the countrys rightwing leader has bounced to fresh highs httpstcoY5jxqrOKIi
301,FinancialTimesv3_0906.csv,,01/09/2020 15:45,,27,,10,0,0,0,,TikTok’s US sale put at risk by new Chinese tech rules. https://t.co/HVFQiNrfBL,,TikToks US sale put at risk by new Chinese tech rules httpstcoHVFQiNrfBL
