Date,Open,High,Low,Close
01/31/2020,"3,282.33","3,282.33","3,214.68","3,225.52"
01/30/2020,"3,256.45","3,285.91","3,242.80","3,283.66"
01/29/2020,"3,289.46","3,293.47","3,271.89","3,273.40"
01/28/2020,"3,255.35","3,285.78","3,253.22","3,276.24"
01/27/2020,"3,247.16","3,258.85","3,234.50","3,243.63"
01/24/2020,"3,333.10","3,333.18","3,281.53","3,295.47"
01/23/2020,"3,315.77","3,326.88","3,301.87","3,325.54"
01/22/2020,"3,330.02","3,337.77","3,320.04","3,321.75"
01/21/2020,"3,321.03","3,329.79","3,316.61","3,320.79"
01/17/2020,"3,323.66","3,329.88","3,318.86","3,329.62"
01/16/2020,"3,302.97","3,317.11","3,302.82","3,316.81"
01/15/2020,"3,282.27","3,298.66","3,280.69","3,289.29"
01/14/2020,"3,285.35","3,294.25","3,277.19","3,283.15"
01/13/2020,"3,271.13","3,288.13","3,268.43","3,288.13"
01/10/2020,"3,281.81","3,282.99","3,260.86","3,265.35"
01/09/2020,"3,266.03","3,275.58","3,263.67","3,274.70"
01/08/2020,"3,238.59","3,267.07","3,236.67","3,253.05"
01/07/2020,"3,241.86","3,244.91","3,232.43","3,237.18"
01/06/2020,"3,217.55","3,246.84","3,214.64","3,246.28"
01/03/2020,"3,226.36","3,246.15","3,222.34","3,234.85"
01/02/2020,"3,244.67","3,258.14","3,235.53","3,257.85"
