Date,Open,High,Low,Close
06/30/2020,"3,050.20","3,111.51","3,047.83","3,100.29"
06/29/2020,"3,018.59","3,053.89","2,999.74","3,053.24"
06/26/2020,"3,073.20","3,073.73","3,004.63","3,009.05"
06/25/2020,"3,046.60","3,086.25","3,024.01","3,083.76"
06/24/2020,"3,114.40","3,115.01","3,032.13","3,050.33"
06/23/2020,"3,138.70","3,154.90","3,127.12","3,131.29"
06/22/2020,"3,094.42","3,120.92","3,079.39","3,117.86"
06/19/2020,"3,140.29","3,155.53","3,083.11","3,097.74"
06/18/2020,"3,101.64","3,120.00","3,093.51","3,115.34"
06/17/2020,"3,136.13","3,141.16","3,108.03","3,113.49"
06/16/2020,"3,131.00","3,153.45","3,076.06","3,124.74"
06/15/2020,"2,993.76","3,079.76","2,965.66","3,066.59"
06/12/2020,"3,071.04","3,088.42","2,984.47","3,041.31"
06/11/2020,"3,123.53","3,123.53","2,999.49","3,002.10"
06/10/2020,"3,213.42","3,223.27","3,181.49","3,190.14"
06/09/2020,"3,213.32","3,222.71","3,193.11","3,207.18"
06/08/2020,"3,199.92","3,233.13","3,196.00","3,232.39"
06/05/2020,"3,163.84","3,211.72","3,163.84","3,193.93"
06/04/2020,"3,111.56","3,128.91","3,090.41","3,112.35"
06/03/2020,"3,098.90","3,130.94","3,098.90","3,122.87"
06/02/2020,"3,064.78","3,081.07","3,051.64","3,080.82"
06/01/2020,"3,038.78","3,062.18","3,031.54","3,055.73"
