Date,Open,High,Low,Close
09/30/2020,"3,341.21","3,393.56","3,340.47","3,363.00"
09/29/2020,"3,350.92","3,357.92","3,327.54","3,335.47"
09/28/2020,"3,333.90","3,360.74","3,332.91","3,351.60"
09/25/2020,"3,236.66","3,306.88","3,228.44","3,298.46"
09/24/2020,"3,226.14","3,278.70","3,209.45","3,246.59"
09/23/2020,"3,320.11","3,323.35","3,232.57","3,236.92"
09/22/2020,"3,295.75","3,320.31","3,270.95","3,315.57"
09/21/2020,"3,285.57","3,285.57","3,229.10","3,281.06"
09/18/2020,"3,357.38","3,362.27","3,292.40","3,319.47"
09/17/2020,"3,346.86","3,375.17","3,328.82","3,357.01"
09/16/2020,"3,411.23","3,428.92","3,384.45","3,385.49"
09/15/2020,"3,407.73","3,419.48","3,389.25","3,401.20"
09/14/2020,"3,363.56","3,402.93","3,363.56","3,383.54"
09/11/2020,"3,352.70","3,368.95","3,310.47","3,340.97"
09/10/2020,"3,412.56","3,425.55","3,329.25","3,339.19"
09/09/2020,"3,369.82","3,424.77","3,366.84","3,398.96"
09/08/2020,"3,371.88","3,379.97","3,329.27","3,331.84"
09/04/2020,"3,453.60","3,479.15","3,349.63","3,426.96"
09/03/2020,"3,564.74","3,564.85","3,427.41","3,455.06"
09/02/2020,"3,543.76","3,588.11","3,535.23","3,580.84"
09/01/2020,"3,507.44","3,528.03","3,494.60","3,526.65"
